电影名称,类型,上映日期,评价数,评分,主演
电影名称,类型,上映日期,评价数,评分,主演
杀人回忆,"剧情,动作,犯罪,悬疑,惊悚",2003-05-02,644105,8.9,"宋康昊,金相庆,金雷夏,宋在浩,边希峰,高瑞熙,柳泰浩,朴努植,朴海日,全美善,徐永嬅,崔钟律,刘承睦,申贤宗,李在应,郑仁仙,吴龙,朴真宇,朴泰京,沈成宝,朴镇宇,廉惠兰,李东勇,赵德济,申文成,孙康国,李大贤,李玉珠,刘仁秀,千明宰,郭秀贞,曹文义,朴贤英,申贤胜,權炳吉,金周灵,金景来,金荷景,李多一,金熙珍,孙镇浩,白奉基,刘琴,禹高娜,李勋京,申云燮,金景来,李江山,崔铉基"
勇敢的心,"动作,传记,剧情,历史,战争",1995-05-18,530640,8.9,"梅尔·吉布森,苏菲·玛索,布莱恩·考克斯,詹姆斯·科兹莫,辛·劳洛,凯瑟琳·麦克马克,安古斯·麦克菲登,布莱丹·格里森,詹姆斯·霍纳,彼得·穆兰,汤米·弗拉纳根,艾伦·阿姆斯特朗,大卫·奥哈拉,帕特里克·麦高汉,伊安·邦纳,梅丽·卡尔维,史蒂芬·比灵顿,迈克尔·伯恩,亚力克斯·诺顿,杰拉德·迈克索利,詹姆斯·鲁宾逊,辛·麦金利,Donal Gibson,鲁珀特·范西塔特"
乱,"剧情,动作",1985-06-01,79574,8.9,"仲代达矢,寺尾聪,根津甚八,隆大介,原田美枝子,宫崎美子,井川比佐志,池畑慎之介,油井昌由树,加藤和夫,松井范雄,伊藤敏八,儿玉谦次,野村万斋,加藤武,田崎润,植木等,头师孝雄,头师佳孝,天田益男,木村荣,日比游一,加藤精三,南條玲子,音羽久米子,寺岛进,东乡晴子,渡边哲,宫坂广,本多猪四郎 "
蝙蝠侠：黑暗骑士归来(下),"动作,动画",2013-01-29,28274,8.9,"彼得·威勒,阿芮尔·温特,迈克尔·爱默生,马克·瓦雷,大卫·塞尔比,迈克尔·麦基恩,格文多林·叶"
阿凡达,"动作,科幻,冒险",2010-01-04,1281774,8.8,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹,吉奥瓦尼·瑞比西,乔·大卫·摩尔 ,希·庞德,韦斯·斯塔迪,拉兹·阿隆索,迪利普·劳,马特·杰拉德,肖恩·安东尼·莫兰,彼得·狄龙,凯尔森·亨德森,詹姆斯·皮特,肖恩·帕特里克·墨菲,大卫·范·霍恩,陆建艺,季冠霖,詹姆斯·霍纳,凯利·基尔戈,杰森·怀特,彼得·门萨,泰瑞·诺塔里,斯科特·劳伦斯,凯文·多曼,雅克布·托毛里,伍迪·舒尔茨,黛布拉·威尔逊"
功夫,"动作,喜剧,犯罪,奇幻",2004-12-23,1001035,8.8,"周星驰,元秋,元华,黄圣依,梁小龙,陈国坤,田启文,林子聪,林雪,冯克安,释彦能,冯小刚,袁祥仁,张一白,赵志凌,董志华,何文辉,陈凯师,贾康熙,林子善,任珈锐,王仕颖,冯勉恒,范湉湉,杨能,黄锐民,姜瑰瑾,丁小龙,张明明,钱升玮,林志泰,阮昊天,程守一"
加勒比海盗,"动作,冒险,奇幻",2003-11-21,796524,8.8,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,乔纳森·普雷斯,李·阿伦伯格,大卫·拜利,马丁·科勒巴,乔迪·卡巴勒罗,劳伦·马赫,安格斯·巴尼特,露欣达·戴泽克,陆建艺,Giles New,小伊萨克·C.辛格尔顿,麦肯锡·克鲁克,Christian Martin,凯文·麦克纳利,瓦妮莎·布兰奇,内杰·亚当森,戴兰·史密斯,盖伊·西纳,达米恩·奥哈尔,David Patykewich,保罗·基斯,罗比·基,卢克·德·沃夫松,佐伊·索尔达娜,乔·格里萨菲,格雷格·埃利斯,特雷瓦·埃迪内,特雷沃·格德达德,杰拉德·J·雷耶斯"
蝙蝠侠：黑暗骑士崛起,"剧情,动作,科幻,犯罪,惊悚",2012-08-27,666424,8.8,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,约瑟夫·高登-莱维特,玛丽昂·歌迪亚,加里·奥德曼,迈克尔·凯恩,摩根·弗里曼,朱诺·坦普尔,乔什·平茨,丹尼尔·逊亚塔,内斯特·卡博内尔,伯恩·戈曼,连姆·尼森,乔伊·金,艾丹·吉伦,基里安·墨菲,乔什·斯图沃特,马修·莫迪恩,本·门德尔森,本·科尼什,克莱尔·茱莉安,伊恩·鲍汉,威廉姆·德瓦内,罗伯特·维斯多姆,弗瑞德里克·林恩,罗伯·布朗,约瑟夫·莱尔·泰勒,阿隆·阿布布尔,加里·西弗斯,约翰·麦克米兰,艾伦·萨吉尼亚,杰克·卡鲁索,迪索·拉莫斯,英迪娅·沃兹沃思,金锋,杰伊·本尼迪克特,阿拉米斯·奈特,托马斯·图尔,特雷弗·怀特,约翰·诺兰,布莱特·卡伦,拉塞尔·巴洛格,艾捷拉·埃文斯,雷吉·李,托马斯·列农,戴斯蒙德·哈灵顿,汤姆·康蒂,大卫·莫纳汉,韦德·威廉姆斯"
被解救的姜戈,"剧情,动作,西部,冒险",2013-05-12,560901,8.8,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·瓦尔兹,塞缪尔·杰克逊,凯丽·华盛顿,沃尔顿·戈金斯,丹尼斯·克里斯托弗,乔纳·希尔,詹姆斯·瑞马尔,爱波·塔布琳,弗兰科·内罗,罗伯特·卡拉丁,佐伊·贝尔,昆汀·塔伦蒂诺,布鲁斯·邓恩,基思·卡拉丹,唐·约翰逊,J·D·埃弗摩尔,拉斯·坦布林,劳拉·凯洛蒂,詹姆斯·拉索,奥托·艾森度,瑞克斯·林恩,迈克·康纳·盖尼,耐德·巴拉米,克里斯托弗·贝瑞,唐·司徒奥德,汤姆·沃帕特,妮可·加利西亚,丹妮尔·沃茨,库珀·哈克卡比,凯瑞·西蒙斯,乔恩·阿兹,蒂莫西·皮克勒斯,爱德华·J·克莱尔,莫尼卡·雷内·安德森,里奇·J·拉德纳,克雷格·斯塔克"
