电影名称,类型,上映日期,评价数,评分,主演
未知死亡 原版,"动作,剧情,悬疑,爱情,惊悚",2005-09-29,1902,8.5,"苏利耶·西瓦库马,阿辛,纳彦塔拉,马诺巴拉"
英雄本色,"剧情,动作,犯罪",1967-09-13,1868,8.5,"谢贤,石坚,杜平,周吉,许莹英,龙刚,麦基,孟莉,西瓜刨,王伟,王克,何柏光,张作舟,尹灵光,刘准,周惠芳,黄梅,黄培基,嘉玲"
王牌特工：特工学院,"喜剧,动作,冒险",2015-03-27,629418,8.4,"塔伦·埃哲顿,科林·费尔斯,塞缪尔·杰克逊,迈克尔·凯恩,马克·斯特朗,索菲·库克森,索菲亚·波多拉,马克·哈米尔,杰克·达文波特,萨曼塔·沃马克,汉娜·奥斯特罗姆,约诺·戴维斯,亚历克斯·尼科洛夫,维利贝·托皮奇,杰夫·贝尔,艾德里安·奎因顿,乔丹·朗,西奥·巴克利姆-比格斯,摩根·华金斯,拉尔夫·伊内森,爱德华·霍尔克罗夫特,尼古拉斯·班克斯,罗温·波隆斯基,阿拉斯泰尔·麦金托什,保利娜·博内瓦,杰克·卡特莫尔-斯科特,莉莉·崔佛斯,理查德·布雷克,张欣,刘北辰,郭易峰,马特·霍金斯,Jack ""JB"" Bauer ,安德烈·莱纳,内芙·加切夫,克里·约翰逊,卡利·内勒,丹尼尔·韦斯特伍德,汤姆·普赖尔"
钢铁侠,"动作,冒险,科幻,惊悚",2008-04-30,554451,8.4,"小罗伯特·唐尼,泰伦斯·霍华德,格温妮斯·帕特洛,杰夫·布里吉斯,莱丝莉·比伯,肖恩·托布,保罗·贝坦尼,乔恩·费儒,克拉克·格雷格,比尔·斯米托洛维奇,弗拉基米尔库布尔,德尼兹·恰克尔,加布里埃尔·图特,爱丽珊·麦卡蒂,斯坦·李,唐娜·伊凡斯,彼得·比灵斯雷,法兰·塔希尔,瑞德·哈珀,吉姆·克莱默,莉吉·诺尔·兰德,阿美莉嘉·奥利沃,珍妮·卡斯帕,艾琳·魏辛格,本·纽马克,安东尼奥·克里斯蒂纳,卡莉·克劳格韦尔,艾娃·罗斯·威廉斯,汤姆·莫雷罗,威尔·莱曼,拉娜·金纳尔,塞缪尔·杰克逊,罗伯特·麦克墨尔,克里斯特尔·玛丽·丹纳,约书亚·哈尔托,纳赞宁·波妮阿蒂,帕特里克·奥康奈尔,莎拉·卡希尔,蒂姆·金尼,法希姆·法兹利,杰弗里·阿希金,提姆·里格比"
电影名称,类型,上映日期,评价数,评分,主演
小萝莉的猴神大叔,"剧情,喜剧,动作",2018-03-02,455284,8.4,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉杰什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什,维莫尔·卡肖尔,凯姆利什·吉尔,纳伊姆·汗,埃朗·哈斯米,迪普提·纳瓦尔,阿尔卡·芭朵拉·卡肖尔"
速度与激情7,"动作,犯罪",2015-04-12,451973,8.4,"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,泰瑞斯·吉布森,卢达·克里斯,道恩·强森,卢卡斯·布莱克,库尔特·拉塞尔,娜塔莉·伊曼纽尔,埃尔莎·帕塔奇,盖尔·加朵,约翰·布罗特顿,卢克·伊万斯,托尼·贾,杰曼·翰苏,诺尔·古格雷米,阿里·法扎勒,姜成镐,龙达·鲁西,伊吉·阿德利亚,乔恩·李·布罗迪,查理·普斯,萨拉·米博·孙,乔赛琳·唐娜休,布里特妮·阿尔格,宝娃,卡莉·普雷斯科特,斯蒂芬·考特尔,托娜塔·摩根,安娜·科尔韦尔,阿莉莎·威尼斯,柯迪·沃克,罗伯特·普拉尔戈,切尔西·佩雷拉,凯瑟琳陈,布莱恩·马霍尼,法希姆·纳吉,若泽·阿布利尔,贾内尔·伊斯拉斯"
加勒比海盗2：聚魂棺,"动作,冒险,奇幻",2006-07-07,390704,8.4,"约翰尼·德普,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,比尔·奈伊,乔纳森·普雷斯,李·阿伦伯格,麦肯锡·克鲁克,凯文·麦克纳利,大卫·拜利,斯特兰·斯卡斯加德,汤姆·霍兰德,娜奥米·哈里斯,马丁·科勒巴,大卫·斯科菲尔德,亚力克斯·诺顿,劳伦·马赫,内杰·亚当森,卢克·德·沃夫松,德里克·奥康纳,德莫特·基尼,克里夫·阿什伯恩,罗比·基,麦克斯·贝克,史蒂夫·斯皮尔斯,约翰·博斯沃尔,克里斯托弗·亚当森,安迪·比克维奇,乔纳森·林斯利,西蒙·米考克,瓦妮莎·布兰奇,大卫·斯特恩,安东尼·帕特里西奥,迈克尔·恩莱特,马克·可汗,大卫·扎赫迪安,法乌齐·卜拉希米,雷吉·李,杰拉德·J·雷耶斯,哈亚提·阿克巴斯,斯蒂芬·阿纳尼茨,拉斯蒂·格瑞斯登·博林,罗恩·博蒂塔,盖伊·查普曼,尼尔·德蒙特,杰拉德·加纳,赛米·汉拉缇,达隆·亨廷顿,保罗·雅各布森,马克·约瑟夫,乔纳森·克特,杰弗里·拉什,谢鹤群,金永钢,陆建艺,加里·西弗斯,亚历山大苏恩佐夫,约瑟夫·史蒂文,尼基·泰勒·梅尔顿,卡莉·罗森博格,玛姬·蒙罗,安·马修斯,艾琳·沙基,迈克尔·博诺莫,马克·约瑟夫,迈克尔·A·莱文,尼古拉斯·里德,詹姆斯·S·莱文"
霍比特人1：意外之旅,"动作,奇幻,冒险",2013-02-22,385441,8.4,"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,肯·斯托特,格拉汉姆·麦克泰维什,詹姆斯·内斯比特,迪恩·奥戈曼,艾丹·特纳,雨果·维文,凯特·布兰切特,安迪·瑟金斯,西尔维斯特·迈可伊,克里斯托弗·李,伊利亚·伍德,伊安·霍姆,李·佩斯,本尼迪克特·康伯巴奇,姜广涛,马努·贝内特,布雷特·麦肯齐,泰瑞·诺塔里,陆建艺,亚当·布朗,柯南·史蒂文斯,布耐恩·布莱塞得,杰德·布罗菲,马克·哈德洛,约翰·凯伦,斯蒂芬·亨特,彼得·汉布尔顿,威廉·基尔舍,巴瑞·哈姆弗莱斯,鲁比·阿什伯恩·瑟金斯,约翰·劳斯,迈克尔·米兹拉希,海登·J·维尔,史蒂芬·乌瑞,杰弗瑞·托马斯,周志强"
国产凌凌漆,"动作,喜剧",1994-10-13,373646,8.4,"周星驰,袁咏仪,罗家英,陈宝莲,郑祖,黄锦江,李力持,于荣光,李健仁,古明华,黄一飞,梁思浩,梁小熊,曾守明,邓兆尊,梁克逊,黄老邪,叶进,白韵琴,邓泰和,邹义训,钟荣,英德拉·利奇"
霍比特人2：史矛革之战,"动作,奇幻,冒险",2014-02-21,343704,8.4,"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,本尼迪克特·康伯巴奇,奥兰多·布鲁姆,伊万杰琳·莉莉,李·佩斯,卢克·伊万斯,斯蒂芬·弗雷,肯·斯托特,詹姆斯·内斯比特,约翰·贝尔,马努·贝内特,杰德·布罗菲,亚当·布朗,约翰·凯伦,瑞安·盖奇,马克·哈德洛,彼得·汉布尔顿,斯蒂芬·亨特,威廉·基尔舍,西尔维斯特·迈可伊,格拉汉姆·麦克泰维什,迪恩·奥戈曼,米卡埃尔·佩斯布兰特,艾丹·特纳,彼得·杰克逊,泰瑞·诺塔里,佩吉·内斯比特,玛丽·内斯比特,周志强,姜广涛,Isabelle Rose Kircher,西蒙·伦顿,马克·米钦森,莎拉·皮尔斯,史蒂芬·乌瑞,史蒂芬·寇贝尔,格雷格·埃利斯,达拉斯·巴内特,Robin Kerr,伊利亚·伍德,雨果·维文,克里斯托弗·李,克里格·霍尔,劳伦斯·马克奥雷,凯特·布兰切特"
罪恶之城,"动作,犯罪,惊悚",2005-04-01,188226,8.4,"杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文,本尼西奥·德尔·托罗,罗莎里奥·道森,布莱特妮·墨菲,米基·洛克,阿丽克西斯·布莱德尔,乔什·哈奈特,戴文青木,鲍沃斯·布斯,祖德·塞克利拉,Jeffrey J. Dashnaw,杰森·道格拉斯,迈克·克拉克·邓肯,汤米·弗拉纳根,里克·戈麦斯,卡拉·古奇诺,鲁特格尔·哈尔,David H. Hickey,尼基·凯特,杰米·金,迈克尔·马德森,伊桑·曼尼奎斯,John McLeod,克拉克·米德尔顿,弗兰克·米勒,伊桑·瑞恩斯,尼克·奥弗曼,马可·佩雷拉,兰德尔·瑞德,玛丽·谢尔顿,尼克·斯塔尔,保罗·T·泰勒,肯·托马斯,Rico Torres,麦肯兹·韦加,阿里·维文,克里斯·华纳,伊利亚·伍德,杰西卡·黑尔,Sammy Harte,劳伦伊莱恩爱德森,Texas,Emmy Robbin,罗伯特·罗德里格兹,彭妮·维塔尔,凯瑟琳·威利斯,里克·高莫兹"
英雄本色2,"剧情,动作,犯罪",1987-12-17,161256,8.4,"狄龙,张国荣,周润发,石天,关山,朱宝意,曾江,成奎安,吴孟达,王正方,谷轩昭,李华干,萧玉,胡智龙,杜伟和,良鸣,林富伟,林志泰,李耀景,麦飞鸿,罗树琪,伍国健,龙铭恩,顾嘉辉,刘晃世,黄伟辉,陈志辉,刘兆铭,简慧真"
星球大战,"动作,科幻,冒险",1977-05-25,127564,8.4,"哈里森·福特,马克·哈米尔,凯丽·费雪,彼得·库欣,亚历克·吉尼斯,彼德·梅犹,大卫·鲍罗斯,詹姆斯·厄尔·琼斯,安格斯·麦金尼斯,里夏尔·勒帕芒捷,菲尔·布朗,乔·庄斯顿,希拉·弗雷泽,杰克·普韦思,加里克·哈根,保罗·布雷克,蒂凡尼·L·库尔茨,李立宏,奥田瑛二,埃迪·伯恩,威廉·胡特金斯,丹尼斯·劳森,史蒂夫·高利,瑞克·麦克勒姆,格兰特·麦丘恩,Doug Beswick,Jon Berg,洛尔恩·彼得森,菲尔·蒂贝特,史蒂夫·威廉姆斯,安东尼·丹尼尔斯,肯尼·贝克"
监狱风云,"剧情,动作,犯罪",1987-11-13,113347,8.4,"周润发,梁家辉,何家驹,张耀扬,黄光亮,吴志雄,成奎安,王文君,韩坤,霍瑞华,冯瑞珍,罗树琪,良鸣,黄伟辉,麦伟章,简瑞超,黃志明,李广添,林富伟"
星球大战前传3：西斯的复仇,"动作,科幻,奇幻,冒险",2005-05-20,99539,8.4,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森,伊恩·麦克迪阿梅德,塞缪尔·杰克逊,吉米·斯密茨,弗兰克·奥兹,安东尼·丹尼尔斯,克里斯托弗·李,凯莎·卡斯特-休伊斯,西拉斯·卡森,Jay Laga'aia,布鲁斯·斯宾斯,韦恩·佩格拉姆,特穆拉·莫里森,奥利弗·福德·戴维斯,阿梅德·贝斯特,杰米·布洛奇,肯尼·贝克,彼德·梅犹,乔尔·埃哲顿,邦妮·皮耶斯,艾米·爱伦,Graeme Blundell,特丽莎·诺贝尔,克劳迪娅·卡万,Keira Wingate,吉娜薇·欧瑞丽,奇·陈,丽纳·欧文,克里斯托弗·卡比,马修·伍德,克里斯蒂·莱特,Mousy McCallum,Michael Kingma,大卫·阿克德,Jill Brooks,罗布·科尔曼,本·库克,卡罗琳·德索扎,纳许·埃哲顿,Nick Gillard,罗杰·盖耶特,尼克·詹姆森,詹姆斯·厄尔·琼斯,Ali Keshavji,戈兰·D·克鲁特,约翰·诺尔,Nalini Krishan,约翰·莱文,白灵,乔治·卢卡斯,金锋,罗汉·尼克尔,大卫·博维斯,奥丽·绍珊,山口英胜,约翰·西格尔德森,马特·斯隆,Christian J. Simpson,Denise Ream,凯蒂·卢卡斯"
星球大战2：帝国反击战,"动作,冒险,科幻",1980-05-21,97212,8.4,"马克·哈米尔,哈里森·福特,凯丽·费雪,比利·迪·威廉姆斯,安东尼·丹尼尔斯,大卫·鲍罗斯,彼德·梅犹,肯尼·贝克,弗兰克·奥兹,亚历克·吉尼斯,詹姆斯·厄尔·琼斯,奥田瑛二,杰米·布洛奇,约翰·霍林斯,克里夫·雷维尔,朱利安·格洛弗,迈克尔·谢尔德,丹尼斯·劳森,肯尼斯·考利"
天若有情,"动作,剧情,爱情",1990-06-14,95405,8.4,"刘德华,吴倩莲,吴孟达,朱铁和,刘江,黄光亮,仙杜拉,钟荣,林富伟,林志泰,姚文基,林聪,洪同剑,黄伟辉,简瑞超,吴回,黄莎莉,元彬,梁珊,陈敏儿,朱继生,吴浣仪,黃志明,谢伟杰"
暗花,"剧情,动作,犯罪,悬疑",1998-01-01,94008,8.4,"刘青云,梁朝伟,邵美琪,王天林,卢海鹏,郑浩南,林雪,龙方,林富伟,林志泰,缪健德,程小龙,方刚,赵志诚,元彬"
星球大战3：绝地归来,"动作,科幻,冒险",1983-05-25,88688,8.4,"马克·哈米尔,哈里森·福特,安东尼·丹尼尔斯,凯丽·费雪,比利·迪·威廉姆斯,彼德·梅犹,伊恩·麦克迪阿梅德,弗兰克·奥兹,亚历克·吉尼斯,基兰·沙阿,奥田瑛二,托尼·考克斯,迪普·罗伊,帕特·威尔士,罗伯特·沃茨,杰米·布洛奇,卡罗琳·布莱奇斯顿,大卫·鲍罗斯,沃维克·戴维斯,本·贝尔特,塞巴斯蒂安·肖,詹姆斯·厄尔·琼斯,Tina Simmons,Larry Ward,Sal Fondacaro,菲尔·方德卡罗,费利克斯·西拉,克莱尔·达文波特,Luis De Jesus,Gerald Home,理查德·琼斯,丹尼斯·劳森,Kendra Wall,希尔顿·麦克雷,Michael Pennington,Ralph Morse,迪基·比尔,萨迪·科尔,黛比·李·卡林顿,保罗·布洛克,肯尼斯·考利,理查德·马昆德,迈克尔·吉尔顿,肯尼·贝克,John Altman,唐·比斯,迈克尔·亨博瑞·巴尔兰,莎拉·本内特,米迦勒·卡特,德尔莫特·克劳利,蒂姆·罗斯"
僵尸先生,"动作,喜剧,奇幻",1985-11-07,78631,8.4,"林正英,许冠英,钱小豪,李赛凤,楼南光,王小凤,黄虾,元华,陈友,何柏光,刘秋生,彭润祥,元武,张荣祥,午马,黄韵诗,田启文"
荒野大镖客,"动作,西部",1964-09-12,63153,8.4,"克林特·伊斯特伍德,吉安·马里亚·沃隆特,沃尔夫冈·路卡西,玛丽安妮·柯奇,西戈德·拉普,约瑟夫·埃格,何塞·卡尔沃,玛加丽塔·洛扎诺,丹尼尔·马汀,贝尼托·斯特凡内利,马里奥·布雷加,布鲁诺·卡罗泰努托,阿尔多·桑布雷利,哈利·戴恩·斯坦通,李·米勒,弗兰克·布拉尼亚,恩里科·玛丽亚·萨莱诺,Luis Barboo,纳扎雷诺·纳塔莱,José Riesgo,何塞·奥哈斯,Nosher Powell,翁贝托·斯帕达罗,Fernando Sánchez Polack,Antonio Vico,William R. Thompkins,José Canalejas"
猛龙过江,"动作,喜剧,犯罪,剧情,惊悚",1972-12-30,41743,8.4,"李小龙,苗可秀,查克·诺瑞斯,魏平澳,黄宗迅,罗伯特·沃尔,黄仁植,金帝,刘永,小麒麟,玛丽莎·隆戈,陈福庆,乔恩·T·巴恩,约翰·德比希尔,占占士,林正英,朱塞佩·马罗科,安德鲁·摩根,聂安达,Homan Tapsell,张佩山,阿里卡尔多·维尼,元彪"
蝙蝠侠：黑暗骑士归来(上),"动作,动画",2012-09-25,26026,8.4,"彼得·威勒,阿芮尔·温特,迈克尔·爱默生,迈克尔·麦基恩,韦德·威廉姆斯,加里·安东尼·威廉斯,罗伯·鲍森,大卫·塞尔比,莫里斯·拉马奇,加里·安东尼·斯特吉斯,格文多林·叶"
空山灵雨,"剧情,动作,武侠,古装",1979-07-11,14495,8.4,"田丰,孙越,徐枫,秦沛,石隽,吴明才,吴家骧,佟林,萧德虎,王光裕,鲁纯,李文泰,陈慧楼,金昌根,杜伟和"
电影名称,类型,上映日期,评价数,评分,主演
关山飞渡,"动作,剧情,爱情,西部",1939-02-15,13910,8.4,"约翰·韦恩,克莱尔·特雷弗,约翰·卡拉丁,托马斯·米切尔,吉姆·梅森,Theodore Lorch,Paul McVey,唐纳德·米克,罗伯特·霍曼斯,沃尔特·麦克格莱尔,Merrill McCormick,Chris-Pin Martin,Florence Lake,Si Jenks,Duke R. Lee,Cornelius Keefe,Vester Pegg,Bryant Washburn,汉克·沃登,Whitehorse,Mickey Simpson,哈利·坦布鲁克,Chuck Stubbs,Buddy Roosevelt,Elvira Ríos,Joe Rickson,Artie Ortego,杰克·彭尼克,露易丝·普拉特,Louis Mason,Helen Gibson,弗兰克·贝克,亚基马·坎纳特,J·P·麦高恩,乔治·班克罗夫特,安迪·德怀恩,汤姆·泰勒,伍迪·斯特罗德,弗朗西斯·福特,威廉姆·霍珀,Dorothy Appleby,Chief John Big Tree,丹尼·鲍沙其,Marga Ann Deighton,Brenda Fowler,Tex Driscoll,富兰克林·法纳姆,Nora Cecil,Ed Brady,伯顿·丘吉尔,Fritzi Brunette,史提夫克莱门特,Bill Cody,Jack Curtis,泰德·比林斯,提姆·霍尔特"
最臭兵器,"动作,战争,动画",1995-02-23,8793,8.4,"堀秀行,羽佐间道夫,大塚周夫,阪脩,绪方贤一,大塚明夫,京田尚子,石森达幸,藤井佳代子,神代知衣,曾我部和行,岛田敏,田中亮一,岸野幸正,佐藤佑晖,大泷进矢,卷岛直树,岩永哲哉,中村尚子,小林通孝"
盗信情缘,"犯罪,剧情,动作,喜剧",1997-08-16,4898,8.4,"堤真一,远山景织子,大杉涟,平泉成,泷泽凉子,磨赤儿,寺岛进,萨布,山本亨,堀部圭亮"
忍者小英雄,"喜剧,动作,运动",1992-08-07,1480,8.4,"黄自强,迈克尔·特雷纳,麦克斯·艾略特·斯莱德,Chad Power,田中通教授,帕特里克·莱比奥托,Baha Jackson,弗里茨·布尔,Al Septien,克里夫顿·鲍威尔"
红海行动,"动作,战争",2018-02-16,973404,8.3,"张译,黄景瑜,海清,杜江,蒋璐霞,尹昉,王强,郭家豪,王雨甜,麦亨利,张涵予,王彦霖,蔡洁,尚,霍思燕,任达华,黄芬芬,于大伟,李响"
杀死比尔,"动作,犯罪,惊悚",2003-09-29,471954,8.3,"乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,达丽尔·汉纳,大卫·卡拉丁,迈克尔·马德森,朱莉·德赖弗斯,栗山千明,千叶真一,刘家辉,迈克尔·帕克斯,迈克尔·鲍文,国村隼,大叶健二,风祭由纪,高桥一生,真濑树里,张伸,田中要次,佐藤佐吉,森下能幸,北村一辉,Ambrosia Kelley"
变形金刚,"动作,科幻",2007-07-11,450854,8.3,"希亚·拉博夫,梅根·福克斯,乔什·杜哈明,泰瑞斯·吉布森,瑞切尔·泰勒,安东尼·安德森,强·沃特,约翰·特托罗,迈克尔·奥尼尔,凯文·杜恩,朱丽叶·怀特,阿莫里·诺拉斯科,扎克·沃德,Michael Trisler,里兹万·曼吉,威廉姆·摩根·谢泼德,克里斯托弗·约翰·托马森,伯尼·麦克,Carlos Moreno Jr.,约翰·罗宾森,特拉维斯·范·文克,彼得·雅各布森,格伦·莫肖尔,Frederic Doss,查理·博丁,乔舒华·费恩曼,克里斯·埃里斯,斯蒂芬·福特,迈克尔·肖姆斯·维尔斯,斯科特·皮特,Colleen Porch,布赖恩·斯特帕尼克,杰米·麦克布莱德,安迪·米尔德,布莱恩·里斯,萨曼塔·史密斯,拉维·帕特尔,里克·戈麦斯,麦克·费舍尔,汤姆·伦克,贾米森·杨,伊斯特·斯高特,麦迪逊·梅森,安德鲁·卡德威尔,J·P·马诺克斯,Chip Hormess,米歇尔·皮尔斯,奥黛塔·安纳布尔,鲍勃·斯蒂芬森,彼特·库伦,马克·瑞安,达里乌斯·麦克拉里,罗伯特·福克沃斯,杰斯·哈梅尔,雨果·维文,雷诺·维尔森,查尔斯·阿德勒,Mike Allen,肯尼·贝茨,迈克尔·贝,James Blackburn,Paul Michael Bloodgood,伊安·布莱斯,詹姆斯·C·伯恩斯,Kevin Carvell,凯德·科特立,Christopher M. Dukes,科尔顿·海恩斯,姜广涛,里克·高莫兹,奥玛·本森·米勒,陆建艺,汤姆·埃沃雷特,妮可·兰德尔·约翰逊,任亚明,Seth Miller,Aaron Michael Lacey,Kyle Saylors,詹姆斯·D·韦斯顿二世,迈克尔·博诺莫,塞巴斯蒂安·莱内尔,Sean Hampton,肖恩·史密斯,Michael J. Fisher,夏治世,王凯"
银翼杀手2049,"剧情,动作,科幻",2017-10-27,449753,8.3,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯,西尔维娅·侯克斯,罗宾·怀特,杰瑞德·莱托,戴夫·巴蒂斯塔,麦肯兹·戴维斯,卡拉·朱里,爱德华·詹姆斯·奥莫斯,巴克德·阿巴蒂,大卫·达斯马齐连,西娅姆·阿巴斯,连尼·詹姆斯,马克·阿诺德,肖恩·杨,萨莉·哈姆森,斯戴芬·莫昌特,伍德·哈里斯,托马斯·勒马尔奎斯,克里斯塔·科索恩,大卫·本森"
第九区,"动作,剧情,科幻,惊悚",2009-11-27,423234,8.3,"沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特,茜尔雯·斯特赖克,约翰·萨莫尔,威廉·艾伦·扬,尼克·布雷克,杰德·布罗菲,路易斯·米纳尔,瓦妮莎·海伍德,玛丽安·胡曼,维多利奥·莱奥纳迪,曼德拉·加杜卡,约翰·范·肖尔,斯特拉·斯廷坎普,戴维·詹姆斯,肯尼思·恩科西,蒂姆·戈登,莫尔内·埃拉斯姆斯,尤金·孔巴尼瓦,赫棱基维·马德拉拉,西雅邦加·拉德贝,梅尔特·西贝尔哈亨,安德勒·奥登达尔,尼克·伯莱尼,罗伯特·霍布斯,Barry Strydom,西莫·莫加瓦扎,伊丽莎白玛坎达维,格雷格·梅尔维尔-史密斯,Morena Busa Sesatsa,Themba Nkosi,Mzwandile Nqoba,大卫·杜卡斯"
碟中谍4,"动作,惊悚,冒险",2012-01-28,406664,8.3,"汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,宝拉·巴顿,蕾雅·赛杜,迈克尔·恩奎斯特,弗拉基米尔·马什科夫,萨穆里·埃德尔曼,伊万·舍甫多夫,亚尼·卡普,乔什·哈洛威,帕维尔·克里兹,米拉吉·格尔比克,伊利亚·沃里克,戈兰·纳沃耶克,拉迪斯拉夫·伯兰,Tomás Valík,兰迪·霍尔,维塔利·克拉夫琴科,麦克·多普德,马丁·哈伯,Ivo Novák,Marek Dobes,克劳迪娅·瓦西科娃,布莱恩·卡斯佩,佩特拉·卢斯提戈瓦,艾普尔·斯图瓦特,安德雷斯·魏斯涅夫斯基,迪米特里·柴波维特斯基,道恩·楚拜,凯斯·达拉斯,Tammy Hui,大卫·斯图尔特,Sabrina Morris,杰西卡·贝尔金,斯蒂芬·罗波,米歇尔·莫纳汉,阿里·奥洛米,文·瑞姆斯,米哈利·绍鲍多什,汤姆·威尔金森,米尔黑·考塔兹"
金刚狼3：殊死一战,"剧情,动作,科幻",2017-03-03,403357,8.3,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,波伊德·霍布鲁克,斯戴芬·莫昌特,伊丽莎白·罗德里格斯,多丽丝·莫尔加多,理查德·E·格兰特,玛丽·佩顿·斯图尔特,伊利斯·尼尔,埃里克·拉萨尔,劳伦·格罗斯,胡安·贾斯帕,克日什托夫·索什斯基,萨博·班克森,朱莉娅·霍特,杰罗米菲茨杰罗德,卢克·霍克斯,昆西·佛斯,约翰·伯纳克,戴夫·戴维斯,丹尼尔·伯哈特,弗兰克·加列戈斯,埃尔考勒诺,西耶娜·诺维科夫"
加勒比海盗3：世界的尽头,"动作,冒险,奇幻",2007-06-12,365222,8.3,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,比尔·奈伊,乔纳森·普雷斯,李·阿伦伯格,麦肯锡·克鲁克,凯文·麦克纳利,大卫·拜利,斯特兰·斯卡斯加德,汤姆·霍兰德,娜奥米·哈里斯,马丁·科勒巴,大卫·斯科菲尔德,劳伦·马赫,德莫特·基尼,克里夫·阿什伯恩,克里斯托弗·亚当森,安迪·比克维奇,乔纳森·林斯利,周润发,凯斯·理查德兹,加桑·马苏德,哈基姆·凯-卡西姆,多米尼克·斯科特·凯伊,瓦妮莎·布兰奇,雷吉·李,马绍尔·曼尼什,安格斯·巴尼特,Giles New,塔卡尤·费舍尔,马塞尔·尤勒斯,塞尔希奥·卡尔德龙,詹姆斯·兰开斯特,格雷格·埃利斯,布伦登·贝尔,谢鹤群,马克·约瑟夫,欧米德·吉亚李利,克里斯奥尔波特,Ned Wertimer,马克·海德斯,马修·沃尔夫,JB·布兰科,Gregory Allen,伊索·阿克瑞恩,拉斯蒂·格瑞斯登·博林,阿诺德·庄,杰森·T·克拉克,斯塔尼·科佩,Nicole Dionne,马克·卡西米尔·戴妮奇斯,金永钢,陆建艺,加里·西弗斯"
疯狂的赛车,"动作,冒险,喜剧",2009-01-20,342407,8.3,"黄渤,戎祥,九孔,徐峥,王双宝,巴多,董立范,高捷,马少骅,王迅,刘刚,Worapoj Thuantanon,赵奔,李麒麟,姜志刚,王鹭,宁浩"
鹿鼎记,"喜剧,动作,武侠,古装",1992-07-30,307647,8.3,"周星驰,吴孟达,张敏,吴君如,邱淑贞,刘松仁,陈百祥,袁洁莹,温兆伦,徐锦江,陈德容,林青霞,钱似莺,郑家生,胡立成,林芳雪,刘江,雷达"
铁甲钢拳,"剧情,动作,科幻,运动",2011-11-08,256848,8.3,"休·杰克曼,达科塔·高尤,凯文·杜兰,安东尼·麦凯,伊万杰琳·莉莉,霍普·戴维斯,詹姆斯·瑞布霍恩,奥嘉·方达,凯文·多曼,天海祐希,J·J·格林,朱利安·甘特,大卫·阿伦·伯施理,卡尔·尹"
飓风营救,"动作,犯罪,剧情,惊悚",2008-04-09,241078,8.3,"连姆·尼森,玛姬·格蕾斯,法米克·詹森,利兰·奥瑟,强·格瑞斯,大卫·沃肖夫斯基,凯蒂·卡西迪,山德·贝克利,霍莉·瓦兰丝,杰拉德·沃特金斯,阿尔本·巴贾拉克塔拉贾,海伦娜·苏贝兰德,安纳托·陶布曼,马克·阿米约,石冢运升,唐·阿伯纳西,拉蒂沃杰·布克维奇,奥利维尔·雷堡汀,尼古拉斯·吉劳德,戈兰·卡斯蒂克"
绅士们,"喜剧,动作,犯罪",2019-12-03,204913,8.3,"马修·麦康纳,查理·汉纳姆,休·格兰特,亨利·戈尔丁,米歇尔·道克瑞,杰瑞米·斯特朗,琳·勒内,科林·法瑞尔,汤姆·吴,奇迪·阿朱福,埃迪·马森,杰森·王,约翰·达格尔什,乔丹·朗,莉莉·弗雷泽,Gershwyn Eustache Jnr,萨缪尔·韦斯特,杰拉丁·萨莫维尔,可可·萨姆纳,弗朗茨·德拉姆,克里斯托弗·埃万格罗,詹姆斯·沃伦,汤姆·里斯哈里斯,丹尼·格里芬,马克斯·班内特,尤金娜·库日敏娜,布鲁斯·钟,阿什利·马克圭尔,乔治·阿斯普雷,杰克·琼斯,马文·坎贝尔,莫里斯·李,拉塞尔·巴洛格,伊川东吾,麦凯尔·戴维,Dominic Gibbs,布莱特妮·阿什沃斯,妮科尔·亨布拉,杰森· 莱恩斯,盖·里奇,塞尔哈特·梅汀,巴奇·马龙"
黄飞鸿,"剧情,动作,武侠,古装",1991-08-15,163262,8.3,"李连杰,元彪,关之琳,张学友,郑则仕,邱建国,任世官,熊欣欣,午马,秦贵宝,黄子扬,布鲁斯·方丹,江全,袁信义,袁祥仁,麦克·里德,冯雪瑞,任达华,许思敏,石坚,刘洵,岑潜波,余袁稳,林富伟"
